ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-18 01:06:00.000,PLOT,11,BULL,Triangle drawn on chart,netflow=4.50
2025-11-18 01:06:30.000,LOGGED,12,BULL,Written to signals CSV,"price=24949.25,netflow=4.50"
2025-11-18 01:11:30.000,PLOT,22,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-18 01:12:00.000,LOGGED,23,BEAR,Written to signals CSV,"price=24915.25,netflow=-0.50"
2025-11-18 01:25:00.000,PLOT,49,BULL,Triangle drawn on chart,netflow=2.13
2025-11-18 01:25:30.000,LOGGED,50,BULL,Written to signals CSV,"price=24910.50,netflow=2.13"
2025-11-18 01:31:00.000,PLOT,61,BEAR,Triangle drawn on chart,netflow=1.31
2025-11-18 01:31:30.000,LOGGED,62,BEAR,Written to signals CSV,"price=24918.50,netflow=1.31"
2025-11-18 01:31:30.000,PLOT,62,BULL,Triangle drawn on chart,netflow=1.21
2025-11-18 01:32:00.000,LOGGED,63,BULL,Written to signals CSV,"price=24918.50,netflow=1.21"
2025-11-18 01:32:00.000,PLOT,63,BEAR,Triangle drawn on chart,netflow=1.11
2025-11-18 01:32:30.000,LOGGED,64,BEAR,Written to signals CSV,"price=24918.75,netflow=1.11"
2025-11-18 01:34:00.000,PLOT,67,BULL,Triangle drawn on chart,netflow=1.87
2025-11-18 01:34:30.000,LOGGED,68,BULL,Written to signals CSV,"price=24922.50,netflow=1.87"
2025-11-18 01:35:00.000,PLOT,69,BEAR,Triangle drawn on chart,netflow=0.28
2025-11-18 01:35:30.000,LOGGED,70,BEAR,Written to signals CSV,"price=24920.50,netflow=0.28"
2025-11-18 01:35:30.000,PLOT,70,BULL,Triangle drawn on chart,netflow=1.83
2025-11-18 01:36:00.000,LOGGED,71,BULL,Written to signals CSV,"price=24921.75,netflow=1.83"
2025-11-18 01:36:30.000,PLOT,72,BEAR,Triangle drawn on chart,netflow=2.20
2025-11-18 01:37:00.000,LOGGED,73,BEAR,Written to signals CSV,"price=24919.75,netflow=2.20"
2025-11-18 01:37:00.000,PLOT,73,BULL,Triangle drawn on chart,netflow=3.92
2025-11-18 01:37:30.000,LOGGED,74,BULL,Written to signals CSV,"price=24925.25,netflow=3.92"
2025-11-18 01:52:30.000,PLOT,104,BEAR,Triangle drawn on chart,netflow=0.00
2025-11-18 01:53:00.000,LOGGED,105,BEAR,Written to signals CSV,"price=24910.50,netflow=0.00"
2025-11-18 01:58:00.000,PLOT,115,BULL,Triangle drawn on chart,netflow=-0.50
2025-11-18 01:58:30.000,LOGGED,116,BULL,Written to signals CSV,"price=24918.00,netflow=-0.50"
2025-11-18 02:17:00.000,PLOT,153,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-18 02:17:30.000,LOGGED,154,BEAR,Written to signals CSV,"price=24903.50,netflow=-2.00"
2025-11-18 02:48:30.000,PLOT,216,BULL,Triangle drawn on chart,netflow=2.50
2025-11-18 02:49:00.000,LOGGED,217,BULL,Written to signals CSV,"price=24881.50,netflow=2.50"
2025-11-18 02:58:00.000,PLOT,235,BEAR,Triangle drawn on chart,netflow=-1.28
2025-11-18 02:58:30.000,LOGGED,236,BEAR,Written to signals CSV,"price=24872.75,netflow=-1.28"
2025-11-18 03:07:00.000,PLOT,253,BULL,Triangle drawn on chart,netflow=1.83
2025-11-18 03:07:30.000,LOGGED,254,BULL,Written to signals CSV,"price=24897.25,netflow=1.83"
2025-11-18 03:28:00.000,PLOT,295,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-18 03:28:30.000,LOGGED,296,BEAR,Written to signals CSV,"price=24926.50,netflow=0.50"
2025-11-18 03:32:00.000,PLOT,303,BULL,Triangle drawn on chart,netflow=1.50
2025-11-18 03:32:30.000,LOGGED,304,BULL,Written to signals CSV,"price=24926.75,netflow=1.50"
2025-11-18 03:32:30.000,PLOT,304,BEAR,Triangle drawn on chart,netflow=1.00
2025-11-18 03:33:00.000,LOGGED,305,BEAR,Written to signals CSV,"price=24916.00,netflow=1.00"
2025-11-18 03:34:00.000,PLOT,307,BULL,Triangle drawn on chart,netflow=2.00
2025-11-18 03:34:30.000,LOGGED,308,BULL,Written to signals CSV,"price=24923.75,netflow=2.00"
2025-11-18 03:34:30.000,PLOT,308,BEAR,Triangle drawn on chart,netflow=2.50
2025-11-18 03:35:00.000,LOGGED,309,BEAR,Written to signals CSV,"price=24926.00,netflow=2.50"
2025-11-18 03:35:00.000,PLOT,309,BULL,Triangle drawn on chart,netflow=2.00
2025-11-18 03:35:30.000,LOGGED,310,BULL,Written to signals CSV,"price=24923.75,netflow=2.00"
2025-11-18 03:35:30.000,PLOT,310,BEAR,Triangle drawn on chart,netflow=2.00
2025-11-18 03:36:00.000,LOGGED,311,BEAR,Written to signals CSV,"price=24921.00,netflow=2.00"
2025-11-18 03:36:00.000,PLOT,311,BULL,Triangle drawn on chart,netflow=4.32
2025-11-18 03:36:30.000,LOGGED,312,BULL,Written to signals CSV,"price=24934.75,netflow=4.32"
2025-11-18 03:38:00.000,PLOT,315,BEAR,Triangle drawn on chart,netflow=2.32
2025-11-18 03:38:30.000,LOGGED,316,BEAR,Written to signals CSV,"price=24923.25,netflow=2.32"
2025-11-18 03:38:30.000,PLOT,316,BULL,Triangle drawn on chart,netflow=4.01
2025-11-18 03:39:00.000,LOGGED,317,BULL,Written to signals CSV,"price=24930.25,netflow=4.01"
2025-11-18 03:39:00.000,PLOT,317,BEAR,Triangle drawn on chart,netflow=3.65
2025-11-18 03:39:30.000,LOGGED,318,BEAR,Written to signals CSV,"price=24933.50,netflow=3.65"
2025-11-18 03:39:30.000,PLOT,318,BULL,Triangle drawn on chart,netflow=3.78
2025-11-18 03:40:00.000,LOGGED,319,BULL,Written to signals CSV,"price=24935.50,netflow=3.78"
2025-11-18 03:40:30.000,PLOT,320,BEAR,Triangle drawn on chart,netflow=3.58
2025-11-18 03:41:00.000,LOGGED,321,BEAR,Written to signals CSV,"price=24931.75,netflow=3.58"
2025-11-18 03:41:00.000,PLOT,321,BULL,Triangle drawn on chart,netflow=3.95
2025-11-18 03:41:30.000,LOGGED,322,BULL,Written to signals CSV,"price=24940.25,netflow=3.95"
2025-11-18 03:58:30.000,PLOT,356,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-18 03:59:00.000,LOGGED,357,BEAR,Written to signals CSV,"price=24937.50,netflow=-1.00"
2025-11-18 04:10:00.000,PLOT,379,BULL,Triangle drawn on chart,netflow=2.50
2025-11-18 04:10:30.000,LOGGED,380,BULL,Written to signals CSV,"price=24936.00,netflow=2.50"
2025-11-18 04:10:30.000,PLOT,380,BEAR,Triangle drawn on chart,netflow=4.93
2025-11-18 04:11:00.000,LOGGED,381,BEAR,Written to signals CSV,"price=24944.00,netflow=4.93"
2025-11-18 04:11:00.000,PLOT,381,BULL,Triangle drawn on chart,netflow=5.51
2025-11-18 04:11:30.000,LOGGED,382,BULL,Written to signals CSV,"price=24948.50,netflow=5.51"
2025-11-18 04:12:30.000,PLOT,384,BEAR,Triangle drawn on chart,netflow=1.88
2025-11-18 04:13:00.000,LOGGED,385,BEAR,Written to signals CSV,"price=24931.25,netflow=1.88"
2025-11-18 04:16:30.000,PLOT,392,BULL,Triangle drawn on chart,netflow=0.50
2025-11-18 04:17:00.000,LOGGED,393,BULL,Written to signals CSV,"price=24928.75,netflow=0.50"
2025-11-18 04:17:00.000,PLOT,393,BEAR,Triangle drawn on chart,netflow=-1.00
2025-11-18 04:17:30.000,LOGGED,394,BEAR,Written to signals CSV,"price=24923.75,netflow=-1.00"
2025-11-18 04:21:30.000,PLOT,402,BULL,Triangle drawn on chart,netflow=1.50
2025-11-18 04:22:00.000,LOGGED,403,BULL,Written to signals CSV,"price=24933.25,netflow=1.50"
2025-11-18 04:22:00.000,PLOT,403,BEAR,Triangle drawn on chart,netflow=2.55
2025-11-18 04:22:30.000,LOGGED,404,BEAR,Written to signals CSV,"price=24933.75,netflow=2.55"
2025-11-18 04:22:30.000,PLOT,404,BULL,Triangle drawn on chart,netflow=2.14
2025-11-18 04:23:00.000,LOGGED,405,BULL,Written to signals CSV,"price=24931.00,netflow=2.14"
2025-11-18 04:26:00.000,PLOT,411,BEAR,Triangle drawn on chart,netflow=-2.50
2025-11-18 04:26:30.000,LOGGED,412,BEAR,Written to signals CSV,"price=24920.25,netflow=-2.50"
2025-11-18 04:32:30.000,PLOT,424,BULL,Triangle drawn on chart,netflow=2.19
2025-11-18 04:33:00.000,LOGGED,425,BULL,Written to signals CSV,"price=24929.25,netflow=2.19"
2025-11-18 04:33:00.000,PLOT,425,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-18 04:33:30.000,LOGGED,426,BEAR,Written to signals CSV,"price=24920.25,netflow=-2.00"
2025-11-18 06:35:30.000,PLOT,670,BULL,Triangle drawn on chart,netflow=0.88
2025-11-18 06:36:00.000,LOGGED,671,BULL,Written to signals CSV,"price=24685.00,netflow=0.88"
2025-11-18 06:36:00.000,PLOT,671,BEAR,Triangle drawn on chart,netflow=-0.55
2025-11-18 06:36:30.000,LOGGED,672,BEAR,Written to signals CSV,"price=24673.25,netflow=-0.55"
2025-11-18 06:44:00.000,PLOT,687,BULL,Triangle drawn on chart,netflow=1.34
2025-11-18 06:44:30.000,LOGGED,688,BULL,Written to signals CSV,"price=24691.00,netflow=1.34"
2025-11-18 06:47:00.000,PLOT,693,BEAR,Triangle drawn on chart,netflow=0.20
2025-11-18 06:47:30.000,LOGGED,694,BEAR,Written to signals CSV,"price=24684.25,netflow=0.20"
2025-11-18 06:49:00.000,PLOT,697,BULL,Triangle drawn on chart,netflow=1.67
2025-11-18 06:49:30.000,LOGGED,698,BULL,Written to signals CSV,"price=24694.25,netflow=1.67"
2025-11-18 06:49:30.000,PLOT,698,BEAR,Triangle drawn on chart,netflow=1.17
2025-11-18 06:50:00.000,LOGGED,699,BEAR,Written to signals CSV,"price=24693.50,netflow=1.17"
2025-11-18 06:51:00.000,PLOT,701,BULL,Triangle drawn on chart,netflow=2.06
2025-11-18 06:51:30.000,LOGGED,702,BULL,Written to signals CSV,"price=24712.50,netflow=2.06"
2025-11-18 07:03:00.000,PLOT,725,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-18 07:03:30.000,LOGGED,726,BEAR,Written to signals CSV,"price=24701.50,netflow=-2.00"
2025-11-18 07:08:30.000,PLOT,736,BULL,Triangle drawn on chart,netflow=2.66
2025-11-18 07:09:00.000,LOGGED,737,BULL,Written to signals CSV,"price=24746.50,netflow=2.66"
2025-11-18 07:17:00.000,PLOT,753,BEAR,Triangle drawn on chart,netflow=-0.18
2025-11-18 07:17:30.000,LOGGED,754,BEAR,Written to signals CSV,"price=24739.75,netflow=-0.18"
2025-11-18 07:17:30.000,PLOT,754,BULL,Triangle drawn on chart,netflow=-0.76
2025-11-18 07:18:00.000,LOGGED,755,BULL,Written to signals CSV,"price=24743.25,netflow=-0.76"
2025-11-18 07:18:30.000,PLOT,756,BEAR,Triangle drawn on chart,netflow=-1.16
2025-11-18 07:19:00.000,LOGGED,757,BEAR,Written to signals CSV,"price=24739.00,netflow=-1.16"
2025-11-18 07:19:00.000,PLOT,757,BULL,Triangle drawn on chart,netflow=-1.73
2025-11-18 07:19:30.000,LOGGED,758,BULL,Written to signals CSV,"price=24741.25,netflow=-1.73"
2025-11-18 07:19:30.000,PLOT,758,BEAR,Triangle drawn on chart,netflow=0.03
2025-11-18 07:20:00.000,LOGGED,759,BEAR,Written to signals CSV,"price=24749.00,netflow=0.03"
2025-11-18 07:20:00.000,PLOT,759,BULL,Triangle drawn on chart,netflow=0.29
2025-11-18 07:20:30.000,LOGGED,760,BULL,Written to signals CSV,"price=24753.50,netflow=0.29"
2025-11-18 07:22:00.000,PLOT,763,BEAR,Triangle drawn on chart,netflow=0.61
2025-11-18 07:22:30.000,LOGGED,764,BEAR,Written to signals CSV,"price=24756.50,netflow=0.61"
2025-11-18 07:22:30.000,PLOT,764,BULL,Triangle drawn on chart,netflow=-0.13
2025-11-18 07:23:00.000,LOGGED,765,BULL,Written to signals CSV,"price=24751.50,netflow=-0.13"
2025-11-18 07:24:30.000,PLOT,768,BEAR,Triangle drawn on chart,netflow=-1.13
2025-11-18 07:25:00.000,LOGGED,769,BEAR,Written to signals CSV,"price=24745.75,netflow=-1.13"
2025-11-18 07:36:00.000,PLOT,791,BULL,Triangle drawn on chart,netflow=3.00
2025-11-18 07:36:30.000,LOGGED,792,BULL,Written to signals CSV,"price=24740.75,netflow=3.00"
2025-11-18 07:37:00.000,PLOT,793,BEAR,Triangle drawn on chart,netflow=0.00
2025-11-18 07:37:30.000,LOGGED,794,BEAR,Written to signals CSV,"price=24739.50,netflow=0.00"
2025-11-18 07:37:30.000,PLOT,794,BULL,Triangle drawn on chart,netflow=-1.00
2025-11-18 07:38:00.000,LOGGED,795,BULL,Written to signals CSV,"price=24734.00,netflow=-1.00"
2025-11-18 07:38:00.000,PLOT,795,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-18 07:38:30.000,LOGGED,796,BEAR,Written to signals CSV,"price=24737.50,netflow=0.50"
2025-11-18 07:40:00.000,PLOT,799,BULL,Triangle drawn on chart,netflow=0.50
2025-11-18 07:40:30.000,LOGGED,800,BULL,Written to signals CSV,"price=24736.00,netflow=0.50"
2025-11-18 07:40:30.000,PLOT,800,BEAR,Triangle drawn on chart,netflow=1.08
2025-11-18 07:41:00.000,LOGGED,801,BEAR,Written to signals CSV,"price=24740.25,netflow=1.08"
2025-11-18 07:42:30.000,PLOT,804,BULL,Triangle drawn on chart,netflow=1.64
2025-11-18 07:43:00.000,LOGGED,805,BULL,Written to signals CSV,"price=24742.00,netflow=1.64"
2025-11-18 07:53:00.000,PLOT,825,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-18 07:53:30.000,LOGGED,826,BEAR,Written to signals CSV,"price=24732.00,netflow=-2.00"
2025-11-18 08:15:30.000,PLOT,870,BULL,Triangle drawn on chart,netflow=1.65
2025-11-18 08:16:00.000,LOGGED,871,BULL,Written to signals CSV,"price=24724.75,netflow=1.65"
2025-11-18 08:16:00.000,PLOT,871,BEAR,Triangle drawn on chart,netflow=-1.08
2025-11-18 08:16:30.000,LOGGED,872,BEAR,Written to signals CSV,"price=24719.00,netflow=-1.08"
2025-11-18 08:17:00.000,PLOT,873,BULL,Triangle drawn on chart,netflow=1.45
2025-11-18 08:17:30.000,LOGGED,874,BULL,Written to signals CSV,"price=24731.25,netflow=1.45"
2025-11-18 08:21:00.000,PLOT,881,BEAR,Triangle drawn on chart,netflow=0.46
2025-11-18 08:21:30.000,LOGGED,882,BEAR,Written to signals CSV,"price=24731.50,netflow=0.46"
2025-11-18 08:56:00.000,PLOT,951,BULL,Triangle drawn on chart,netflow=3.74
2025-11-18 08:56:30.000,LOGGED,952,BULL,Written to signals CSV,"price=24677.75,netflow=3.74"
2025-11-18 08:58:00.000,PLOT,955,BEAR,Triangle drawn on chart,netflow=1.84
2025-11-18 08:58:30.000,LOGGED,956,BEAR,Written to signals CSV,"price=24656.50,netflow=1.84"
2025-11-18 09:23:00.000,PLOT,1005,BULL,Triangle drawn on chart,netflow=3.68
2025-11-18 09:23:30.000,LOGGED,1006,BULL,Written to signals CSV,"price=24654.25,netflow=3.68"
2025-11-18 09:52:00.000,PLOT,1063,BEAR,Triangle drawn on chart,netflow=-2.50
2025-11-18 09:52:30.000,LOGGED,1064,BEAR,Written to signals CSV,"price=24711.50,netflow=-2.50"
2025-11-18 10:01:00.000,PLOT,1081,BULL,Triangle drawn on chart,netflow=4.52
2025-11-18 10:01:30.000,LOGGED,1082,BULL,Written to signals CSV,"price=24727.25,netflow=4.52"
2025-11-18 10:47:30.000,PLOT,1174,BEAR,Triangle drawn on chart,netflow=2.00
2025-11-18 10:48:00.000,LOGGED,1175,BEAR,Written to signals CSV,"price=24803.00,netflow=2.00"
2025-11-18 10:56:00.000,PLOT,1191,BULL,Triangle drawn on chart,netflow=1.50
2025-11-18 10:56:30.000,LOGGED,1192,BULL,Written to signals CSV,"price=24793.50,netflow=1.50"
2025-11-18 10:56:30.000,PLOT,1192,BEAR,Triangle drawn on chart,netflow=2.00
2025-11-18 10:57:00.000,LOGGED,1193,BEAR,Written to signals CSV,"price=24804.50,netflow=2.00"
2025-11-18 10:57:00.000,PLOT,1193,BULL,Triangle drawn on chart,netflow=2.00
2025-11-18 10:57:30.000,LOGGED,1194,BULL,Written to signals CSV,"price=24807.50,netflow=2.00"
2025-11-18 11:01:00.000,PLOT,1201,BEAR,Triangle drawn on chart,netflow=4.78
2025-11-18 11:01:30.000,LOGGED,1202,BEAR,Written to signals CSV,"price=24812.00,netflow=4.78"
2025-11-18 11:01:30.000,PLOT,1202,BULL,Triangle drawn on chart,netflow=2.03
2025-11-18 11:02:00.000,LOGGED,1203,BULL,Written to signals CSV,"price=24795.25,netflow=2.03"
2025-11-18 11:02:00.000,PLOT,1203,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-18 11:02:30.000,LOGGED,1204,BEAR,Written to signals CSV,"price=24786.00,netflow=0.50"
2025-11-18 11:05:30.000,PLOT,1210,BULL,Triangle drawn on chart,netflow=2.00
2025-11-18 11:06:00.000,LOGGED,1211,BULL,Written to signals CSV,"price=24800.50,netflow=2.00"
2025-11-18 11:06:00.000,PLOT,1211,BEAR,Triangle drawn on chart,netflow=1.50
2025-11-18 11:06:30.000,LOGGED,1212,BEAR,Written to signals CSV,"price=24799.75,netflow=1.50"
2025-11-18 11:08:00.000,PLOT,1215,BULL,Triangle drawn on chart,netflow=3.05
2025-11-18 11:08:30.000,LOGGED,1216,BULL,Written to signals CSV,"price=24803.00,netflow=3.05"
2025-11-18 11:08:30.000,PLOT,1216,BEAR,Triangle drawn on chart,netflow=1.50
2025-11-18 11:09:00.000,LOGGED,1217,BEAR,Written to signals CSV,"price=24797.50,netflow=1.50"
2025-11-18 11:09:00.000,PLOT,1217,BULL,Triangle drawn on chart,netflow=3.71
2025-11-18 11:09:30.000,LOGGED,1218,BULL,Written to signals CSV,"price=24805.00,netflow=3.71"
2025-11-18 11:10:00.000,PLOT,1219,BEAR,Triangle drawn on chart,netflow=3.56
2025-11-18 11:10:30.000,LOGGED,1220,BEAR,Written to signals CSV,"price=24799.00,netflow=3.56"
2025-11-18 11:12:00.000,PLOT,1223,BULL,Triangle drawn on chart,netflow=3.57
2025-11-18 11:12:30.000,LOGGED,1224,BULL,Written to signals CSV,"price=24804.25,netflow=3.57"
2025-11-18 11:12:30.000,PLOT,1224,BEAR,Triangle drawn on chart,netflow=4.01
2025-11-18 11:13:00.000,LOGGED,1225,BEAR,Written to signals CSV,"price=24811.50,netflow=4.01"
2025-11-18 11:13:00.000,PLOT,1225,BULL,Triangle drawn on chart,netflow=4.05
2025-11-18 11:13:30.000,LOGGED,1226,BULL,Written to signals CSV,"price=24808.75,netflow=4.05"
2025-11-18 11:13:30.000,PLOT,1226,BEAR,Triangle drawn on chart,netflow=4.09
2025-11-18 11:14:00.000,LOGGED,1227,BEAR,Written to signals CSV,"price=24807.50,netflow=4.09"
2025-11-18 11:14:00.000,PLOT,1227,BULL,Triangle drawn on chart,netflow=4.25
2025-11-18 11:14:30.000,LOGGED,1228,BULL,Written to signals CSV,"price=24809.75,netflow=4.25"
2025-11-18 11:23:00.000,PLOT,1245,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-18 11:23:30.000,LOGGED,1246,BEAR,Written to signals CSV,"price=24805.75,netflow=0.50"
2025-11-18 11:33:30.000,PLOT,1266,BULL,Triangle drawn on chart,netflow=2.50
2025-11-18 11:34:00.000,LOGGED,1267,BULL,Written to signals CSV,"price=24802.25,netflow=2.50"
2025-11-18 11:34:00.000,PLOT,1267,BEAR,Triangle drawn on chart,netflow=3.55
2025-11-18 11:34:30.000,LOGGED,1268,BEAR,Written to signals CSV,"price=24814.00,netflow=3.55"
2025-11-18 11:34:30.000,PLOT,1268,BULL,Triangle drawn on chart,netflow=3.48
2025-11-18 11:35:00.000,LOGGED,1269,BULL,Written to signals CSV,"price=24816.50,netflow=3.48"
2025-11-18 11:35:30.000,PLOT,1270,BEAR,Triangle drawn on chart,netflow=2.00
2025-11-18 11:36:00.000,LOGGED,1271,BEAR,Written to signals CSV,"price=24800.00,netflow=2.00"
2025-11-18 11:45:30.000,PLOT,1290,BULL,Triangle drawn on chart,netflow=2.20
2025-11-18 11:46:00.000,LOGGED,1291,BULL,Written to signals CSV,"price=24799.00,netflow=2.20"
2025-11-18 11:49:00.000,PLOT,1297,BEAR,Triangle drawn on chart,netflow=1.34
2025-11-18 11:49:30.000,LOGGED,1298,BEAR,Written to signals CSV,"price=24788.75,netflow=1.34"
2025-11-18 11:50:00.000,PLOT,1299,BULL,Triangle drawn on chart,netflow=1.47
2025-11-18 11:50:30.000,LOGGED,1300,BULL,Written to signals CSV,"price=24794.25,netflow=1.47"
2025-11-18 12:09:30.000,PLOT,1338,BEAR,Triangle drawn on chart,netflow=2.00
2025-11-18 12:10:00.000,LOGGED,1339,BEAR,Written to signals CSV,"price=24809.75,netflow=2.00"
2025-11-18 12:19:00.000,PLOT,1357,BULL,Triangle drawn on chart,netflow=0.50
2025-11-18 12:19:30.000,LOGGED,1358,BULL,Written to signals CSV,"price=24812.75,netflow=0.50"
2025-11-18 12:19:30.000,PLOT,1358,BEAR,Triangle drawn on chart,netflow=3.63
2025-11-18 12:20:00.000,LOGGED,1359,BEAR,Written to signals CSV,"price=24819.25,netflow=3.63"
2025-11-18 12:20:00.000,PLOT,1359,BULL,Triangle drawn on chart,netflow=4.58
2025-11-18 12:20:30.000,LOGGED,1360,BULL,Written to signals CSV,"price=24813.50,netflow=4.58"
2025-11-18 12:21:00.000,PLOT,1361,BEAR,Triangle drawn on chart,netflow=2.63
2025-11-18 12:21:30.000,LOGGED,1362,BEAR,Written to signals CSV,"price=24810.50,netflow=2.63"
2025-11-18 12:31:30.000,PLOT,1382,BULL,Triangle drawn on chart,netflow=3.90
2025-11-18 12:32:00.000,LOGGED,1383,BULL,Written to signals CSV,"price=24813.50,netflow=3.90"
2025-11-18 12:40:30.000,PLOT,1400,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-18 12:41:00.000,LOGGED,1401,BEAR,Written to signals CSV,"price=24792.00,netflow=0.50"
2025-11-18 12:45:00.000,PLOT,1409,BULL,Triangle drawn on chart,netflow=2.00
2025-11-18 12:45:30.000,LOGGED,1410,BULL,Written to signals CSV,"price=24805.00,netflow=2.00"
2025-11-18 13:09:00.000,PLOT,1457,BEAR,Triangle drawn on chart,netflow=-1.50
2025-11-18 13:09:30.000,LOGGED,1458,BEAR,Written to signals CSV,"price=24809.50,netflow=-1.50"
2025-11-18 13:23:30.000,PLOT,1486,BULL,Triangle drawn on chart,netflow=2.50
2025-11-18 13:24:00.000,LOGGED,1487,BULL,Written to signals CSV,"price=24800.50,netflow=2.50"
2025-11-18 13:28:00.000,PLOT,1495,BEAR,Triangle drawn on chart,netflow=2.61
2025-11-18 13:28:30.000,LOGGED,1496,BEAR,Written to signals CSV,"price=24793.75,netflow=2.61"
2025-11-18 13:30:00.000,PLOT,1499,BULL,Triangle drawn on chart,netflow=3.37
2025-11-18 13:30:30.000,LOGGED,1500,BULL,Written to signals CSV,"price=24805.00,netflow=3.37"
2025-11-18 13:30:30.000,PLOT,1500,BEAR,Triangle drawn on chart,netflow=2.05
2025-11-18 13:31:00.000,LOGGED,1501,BEAR,Written to signals CSV,"price=24797.50,netflow=2.05"
2025-11-18 13:32:00.000,PLOT,1503,BULL,Triangle drawn on chart,netflow=3.03
2025-11-18 13:32:30.000,LOGGED,1504,BULL,Written to signals CSV,"price=24799.25,netflow=3.03"
2025-11-18 13:32:30.000,PLOT,1504,BEAR,Triangle drawn on chart,netflow=2.56
2025-11-18 13:33:00.000,LOGGED,1505,BEAR,Written to signals CSV,"price=24799.50,netflow=2.56"
2025-11-18 13:33:00.000,PLOT,1505,BULL,Triangle drawn on chart,netflow=0.50
2025-11-18 13:33:30.000,LOGGED,1506,BULL,Written to signals CSV,"price=24794.75,netflow=0.50"
2025-11-18 13:33:30.000,PLOT,1506,BEAR,Triangle drawn on chart,netflow=1.50
2025-11-18 13:34:00.000,LOGGED,1507,BEAR,Written to signals CSV,"price=24788.00,netflow=1.50"
2025-11-18 13:43:30.000,PLOT,1526,BULL,Triangle drawn on chart,netflow=1.56
2025-11-18 13:44:00.000,LOGGED,1527,BULL,Written to signals CSV,"price=24785.00,netflow=1.56"
2025-11-18 13:44:30.000,PLOT,1528,BEAR,Triangle drawn on chart,netflow=-2.00
2025-11-18 13:45:00.000,LOGGED,1529,BEAR,Written to signals CSV,"price=24777.25,netflow=-2.00"
2025-11-18 13:48:30.000,PLOT,1536,BULL,Triangle drawn on chart,netflow=2.26
