barIndex,time,direction,trendSide,missed_profit,fastGrad,accel,adx,rsi,gradStab,bandwidth,blockers,blocker_count
3796,09:38:00,SHORT,BULL,27.25,0.164,0.2,12.1,49.8,0.143,0.000021,"['FastGrad too weak (0.164 > -0.008)', 'Close above fastEMA (25378.25 > 25377.51)']",2
3798,09:39:00,SHORT,BEAR,25.25,-0.134,-0.164,11.9,46.4,0.005,0.000028,['ADX too low (11.9 < 12.0)'],1
3797,09:38:33,SHORT,BEAR,24.75,-0.254,-0.2,11.7,45.6,0.053,0.000030,['ADX too low (11.7 < 12.0)'],1
3861,10:10:30,LONG,BEAR,16.5,-1.239,-1.515,29.7,19.3,0.052,0.000225,"['FastGrad too weak (-1.239 < 0.008)', 'RSI below floor (19.3 < 32.0)', 'Close below fastEMA (25330.25 < 25335.83)']",3
3800,09:40:00,SHORT,BEAR,16.0,-1.342,-1.696,15.9,33.9,0.469,0.000089,['RSI below short floor (33.9 < 39.0)'],1
3689,08:44:30,LONG,BEAR,13.75,-0.239,-0.292,19.2,50.5,0.187,0.000023,"['FastGrad too weak (-0.239 < 0.008)', 'Close below fastEMA (25353.25 < 25354.32)']",2
3860,10:10:00,LONG,BEAR,13.0,-0.878,-1.073,27.0,22.2,0.1,0.000211,"['FastGrad too weak (-0.878 < 0.008)', 'RSI below floor (22.2 < 32.0)', 'Close below fastEMA (25333.75 < 25337.70)']",3
3720,09:00:00,LONG,BEAR,13.0,-0.789,-1.02,28.7,48.2,0.525,0.000041,"['FastGrad too weak (-0.789 < 0.008)', 'Close below fastEMA (25369.50 < 25373.05)']",2
3713,08:56:30,SHORT,BULL,12.0,1.492,1.824,38.3,78.5,0.213,0.000214,"['FastGrad too weak (1.492 > -0.008)', 'Close above fastEMA (25384.00 > 25377.29)']",2
3852,10:06:00,SHORT,BEAR,12.0,-1.298,-1.587,14.9,28.2,0.344,0.000127,['RSI below short floor (28.2 < 39.0)'],1
3781,09:30:31,SHORT,BULL,11.75,0.471,0.631,15.3,60.0,0.101,0.000055,"['FastGrad too weak (0.471 > -0.008)', 'Close above fastEMA (25385.25 > 25383.13)']",2
3858,10:09:00,LONG,BEAR,11.75,-1.494,-1.604,25.5,21.4,0.203,0.000218,"['FastGrad too weak (-1.494 < 0.008)', 'RSI below floor (21.4 < 32.0)', 'Close below fastEMA (25332.75 < 25339.47)']",3
3714,08:57:00,SHORT,BULL,11.5,0.886,1.083,40.5,72.6,0.078,0.000204,"['FastGrad too weak (0.886 > -0.008)', 'Close above fastEMA (25381.75 > 25377.76)']",2
3782,09:31:00,SHORT,BULL,11.25,0.302,0.425,16.5,58.6,0.013,0.000055,"['FastGrad too weak (0.302 > -0.008)', 'Close above fastEMA (25384.75 > 25383.39)']",2
3847,10:03:30,SHORT,BEAR,11.25,-0.17,-0.43,11.6,43.9,0.047,0.000051,['ADX too low (11.6 < 12.0)'],1
3780,09:30:00,SHORT,BULL,11.0,0.449,0.493,13.0,58.9,0.109,0.000048,"['FastGrad too weak (0.449 > -0.008)', 'Close above fastEMA (25384.50 > 25382.48)']",2
3859,10:09:31,LONG,BEAR,10.5,-1.028,-1.312,25.9,23.0,0.03,0.000214,"['FastGrad too weak (-1.028 < 0.008)', 'RSI below floor (23.0 < 32.0)', 'Close below fastEMA (25334.00 < 25338.63)']",3
3719,08:59:30,LONG,BEAR,10.5,-0.838,-0.969,31.2,49.4,0.615,0.000065,"['FastGrad too weak (-0.838 < 0.008)', 'Close below fastEMA (25370.25 < 25374.02)']",2
3688,08:44:00,LONG,BEAR,10.25,-0.337,-0.523,20.3,50.0,0.257,0.000030,"['FastGrad too weak (-0.337 < 0.008)', 'Close below fastEMA (25353.00 < 25354.52)']",2
3903,10:31:30,LONG,BULL,10.0,0.252,0.308,8.4,57.8,0.013,0.000055,['ADX too low (8.4 < 12.0)'],1
3754,09:17:00,SHORT,BULL,10.0,0.609,0.744,13.3,61.9,0.193,0.000048,"['FastGrad too weak (0.609 > -0.008)', 'Close above fastEMA (25385.25 > 25382.51)']",2
3848,10:04:00,SHORT,BEAR,9.75,-0.825,-0.897,12.7,36.5,0.237,0.000074,['RSI below short floor (36.5 < 39.0)'],1
3849,10:04:30,SHORT,BEAR,9.75,-0.7,-0.688,14.1,36.7,0.161,0.000078,['RSI below short floor (36.7 < 39.0)'],1
3887,10:23:30,LONG,BEAR,9.5,-0.57,-0.641,14.6,46.6,0.34,0.000015,"['FastGrad too weak (-0.570 < 0.008)', 'Close below fastEMA (25350.00 < 25352.57)']",2
3854,10:07:00,SHORT,BEAR,9.5,-1.16,-1.418,18.9,26.6,0.188,0.000158,['RSI below short floor (26.6 < 39.0)'],1
3902,10:31:00,LONG,BULL,9.5,0.081,0.098,9.5,55.6,0.093,0.000051,['ADX too low (9.5 < 12.0)'],1
3846,10:03:00,SHORT,BEAR,9.5,-0.021,-0.192,11.2,45.7,0.11,0.000045,['ADX too low (11.2 < 12.0)'],1
3853,10:06:30,SHORT,BEAR,9.0,-1.508,-1.844,17.4,25.3,0.387,0.000153,['RSI below short floor (25.3 < 39.0)'],1
3715,08:57:30,SHORT,BULL,8.75,0.204,0.25,39.3,64.6,0.366,0.000177,"['FastGrad too weak (0.204 > -0.008)', 'Close above fastEMA (25378.25 > 25377.33)']",2
3718,08:59:00,LONG,BEAR,8.75,-0.696,-0.851,33.8,52.3,0.619,0.000095,"['FastGrad too weak (-0.696 < 0.008)', 'Close below fastEMA (25372.00 < 25375.13)']",2
3801,09:40:30,LONG,BEAR,8.75,-3.487,-4.206,20.5,21.9,1.315,0.000195,"['FastGrad too weak (-3.487 < 0.008)', 'RSI below floor (21.9 < 32.0)', 'Close below fastEMA (25351.00 < 25366.69)']",3
3762,09:21:00,LONG,BEAR,8.5,-0.632,-0.939,16.2,39.5,0.177,0.000058,"['FastGrad too weak (-0.632 < 0.008)', 'Close below fastEMA (25373.75 < 25376.59)']",2
3712,08:56:00,SHORT,BULL,8.25,1.824,2.173,36.2,78.5,0.41,0.000206,"['FastGrad too weak (1.824 > -0.008)', 'Close above fastEMA (25384.00 > 25375.79)']",2
3856,10:08:00,SHORT,BEAR,8.25,-1.137,-1.445,20.6,24.5,0.119,0.000180,['RSI below short floor (24.5 < 39.0)'],1
3779,09:29:30,SHORT,BULL,8.25,0.538,0.769,12.8,59.0,0.166,0.000044,"['FastGrad too weak (0.538 > -0.008)', 'Close above fastEMA (25384.50 > 25382.08)']",2
3851,10:05:30,SHORT,BEAR,8.25,-1.041,-1.217,13.4,31.5,0.273,0.000103,['RSI below short floor (31.5 < 39.0)'],1
3828,09:54:00,LONG,BEAR,8.0,-0.66,-0.862,21.5,37.6,0.146,0.000075,"['FastGrad too weak (-0.660 < 0.008)', 'Close below fastEMA (25355.75 < 25358.72)']",2
3833,09:56:35,SHORT,BULL,7.75,0.777,0.728,18.7,54.7,0.455,0.000017,"['FastGrad too weak (0.777 > -0.008)', 'Close above fastEMA (25363.75 > 25360.25)']",2
3755,09:17:31,SHORT,BULL,7.75,0.155,0.245,11.9,56.0,0.025,0.000040,"['FastGrad too weak (0.155 > -0.008)', 'Close above fastEMA (25383.00 > 25382.30)', 'ADX too low (11.9 < 12.0)']",3
3729,09:04:30,SHORT,BULL,7.75,0.791,0.967,33.9,64.4,0.12,0.000111,"['FastGrad too weak (0.791 > -0.008)', 'Close above fastEMA (25384.50 > 25380.94)']",2
3822,09:51:01,SHORT,BULL,7.75,0.299,0.309,19.0,50.0,0.199,0.000016,"['FastGrad too weak (0.299 > -0.008)', 'Close above fastEMA (25364.75 > 25363.41)']",2
3855,10:07:30,SHORT,BEAR,7.75,-1.218,-1.433,19.3,24.9,0.185,0.000171,['RSI below short floor (24.9 < 39.0)'],1
3831,09:55:35,LONG,BEAR,7.5,-0.353,-0.209,19.7,39.5,0.004,0.000071,"['FastGrad too weak (-0.353 < 0.008)', 'Close below fastEMA (25356.25 < 25357.84)']",2
3829,09:54:31,LONG,BEAR,7.5,-0.457,-0.614,22.0,38.8,0.038,0.000076,"['FastGrad too weak (-0.457 < 0.008)', 'Close below fastEMA (25356.25 < 25358.31)']",2
3821,09:50:31,SHORT,BULL,7.5,0.309,0.323,20.4,49.4,0.225,0.000023,"['FastGrad too weak (0.309 > -0.008)', 'Close above fastEMA (25364.50 > 25363.11)']",2
3844,10:02:01,SHORT,BULL,7.5,0.129,-0.12,13.3,47.7,0.16,0.000034,"['FastGrad too weak (0.129 > -0.008)', 'Close above fastEMA (25358.00 > 25357.42)']",2
3823,09:51:31,SHORT,BEAR,7.25,-0.008,-0.065,18.5,46.6,0.05,0.000020,['FastGrad too weak (-0.008 > -0.008)'],1
3900,10:30:00,LONG,BULL,7.25,0.191,0.289,8.3,56.6,0.039,0.000052,['ADX too low (8.3 < 12.0)'],1
3901,10:30:30,LONG,BULL,7.25,0.371,0.509,8.2,59.1,0.036,0.000060,['ADX too low (8.2 < 12.0)'],1
3753,09:16:30,SHORT,BULL,7.25,0.244,0.409,13.5,56.4,0.046,0.000031,"['FastGrad too weak (0.244 > -0.008)', 'Close above fastEMA (25382.50 > 25381.40)']",2
3857,10:08:30,LONG,BEAR,7.0,-1.967,-2.182,23.2,18.8,0.456,0.000217,"['FastGrad too weak (-1.967 < 0.008)', 'RSI below floor (18.8 < 32.0)', 'Close below fastEMA (25331.75 < 25340.60)']",3
3756,09:18:00,SHORT,BULL,7.0,0.007,0.064,11.1,54.1,0.089,0.000035,"['FastGrad too weak (0.007 > -0.008)', 'Close above fastEMA (25382.25 > 25382.22)', 'ADX too low (11.1 < 12.0)']",3
3904,10:32:01,LONG,BULL,7.0,0.694,0.57,9.2,62.8,0.184,0.000068,['ADX too low (9.2 < 12.0)'],1
3882,10:21:00,SHORT,BULL,6.75,0.432,0.527,10.5,58.5,0.007,0.000082,"['FastGrad too weak (0.432 > -0.008)', 'Close above fastEMA (25356.75 > 25354.81)', 'ADX too low (10.5 < 12.0)']",3
3830,09:55:00,LONG,BEAR,6.75,-0.254,-0.366,20.0,40.6,0.059,0.000072,"['FastGrad too weak (-0.254 < 0.008)', 'Close below fastEMA (25357.00 < 25358.14)']",2
3730,09:05:00,SHORT,BULL,6.75,0.507,0.564,34.5,62.2,0.017,0.000106,"['FastGrad too weak (0.507 > -0.008)', 'Close above fastEMA (25383.50 > 25381.22)']",2
3684,08:42:00,LONG,BEAR,6.75,-0.591,-0.722,25.3,48.5,0.428,0.000044,"['FastGrad too weak (-0.591 < 0.008)', 'Close below fastEMA (25351.50 < 25354.16)']",2
3736,09:08:00,SHORT,BULL,6.5,0.274,0.335,32.8,58.6,0.029,0.000065,"['FastGrad too weak (0.274 > -0.008)', 'Close above fastEMA (25382.50 > 25381.27)']",2
3735,09:07:30,SHORT,BULL,6.5,0.335,0.409,32.8,58.6,0.0,0.000066,"['FastGrad too weak (0.335 > -0.008)', 'Close above fastEMA (25382.50 > 25380.99)']",2
3752,09:16:00,SHORT,BULL,6.25,0.5,0.555,14.5,58.9,0.181,0.000031,"['FastGrad too weak (0.500 > -0.008)', 'Close above fastEMA (25383.50 > 25381.25)']",2
3807,09:43:30,LONG,BEAR,6.25,-0.752,-0.974,31.2,35.4,0.126,0.000195,"['FastGrad too weak (-0.752 < 0.008)', 'Close below fastEMA (25357.25 < 25360.63)']",2
3748,09:14:00,LONG,BEAR,6.25,-0.151,-0.018,16.9,50.2,0.098,0.000007,"['FastGrad too weak (-0.151 < 0.008)', 'Close below fastEMA (25379.00 < 25379.68)']",2
3883,10:21:30,SHORT,BULL,6.25,0.295,0.25,10.6,57.4,0.05,0.000077,"['FastGrad too weak (0.295 > -0.008)', 'Close above fastEMA (25356.25 > 25354.92)', 'ADX too low (10.6 < 12.0)']",3
3761,09:20:30,LONG,BEAR,6.25,-0.394,-0.537,15.4,42.9,0.097,0.000041,"['FastGrad too weak (-0.394 < 0.008)', 'Close below fastEMA (25376.00 < 25377.77)']",2
3885,10:22:30,LONG,BEAR,6.25,-0.117,-0.254,12.0,52.2,0.181,0.000045,"['FastGrad too weak (-0.117 < 0.008)', 'Close below fastEMA (25353.25 < 25353.78)']",2
3839,09:59:30,SHORT,BULL,6.25,0.107,0.297,15.2,48.2,0.117,0.000023,"['FastGrad too weak (0.107 > -0.008)', 'Close above fastEMA (25359.50 > 25359.02)']",2
3683,08:41:31,LONG,BEAR,6.0,-0.767,-0.882,27.1,48.0,0.564,0.000060,"['FastGrad too weak (-0.767 < 0.008)', 'Close below fastEMA (25351.25 < 25354.70)']",2
3711,08:55:30,SHORT,BULL,6.0,1.81,2.379,33.5,75.6,0.464,0.000183,"['FastGrad too weak (1.810 > -0.008)', 'Close above fastEMA (25381.75 > 25373.61)']",2
3832,09:56:00,SHORT,BULL,5.75,0.546,0.556,18.4,51.0,0.39,0.000039,"['FastGrad too weak (0.546 > -0.008)', 'Close above fastEMA (25361.75 > 25359.29)']",2
3733,09:06:30,LONG,BEAR,5.75,-0.596,-0.562,32.3,50.0,0.444,0.000049,"['FastGrad too weak (-0.596 < 0.008)', 'Close below fastEMA (25376.75 < 25379.43)']",2
3763,09:21:31,LONG,BEAR,5.75,-0.1,-0.178,16.5,45.9,0.073,0.000047,"['FastGrad too weak (-0.100 < 0.008)', 'Close below fastEMA (25376.50 < 25376.95)']",2
3875,10:17:30,LONG,BEAR,5.5,-0.074,-0.035,15.4,53.4,0.258,0.000082,"['FastGrad too weak (-0.074 < 0.008)', 'Close below fastEMA (25351.25 < 25351.58)']",2
3808,09:44:00,LONG,BEAR,5.25,-0.491,-0.433,32.3,37.4,0.223,0.000180,"['FastGrad too weak (-0.491 < 0.008)', 'Close below fastEMA (25358.25 < 25360.46)']",2
3806,09:43:00,LONG,BEAR,5.25,-0.747,-0.802,29.3,36.1,0.13,0.000196,"['FastGrad too weak (-0.747 < 0.008)', 'Close below fastEMA (25358.25 < 25361.61)']",2
3886,10:23:00,LONG,BULL,5.0,0.131,-0.117,12.5,54.3,0.045,0.000043,['AccelMisaligned (fastGrad=0.131 but accel=-0.117)'],1
3841,10:00:30,LONG,BEAR,4.75,-0.848,-0.925,15.5,37.8,0.304,0.000053,"['FastGrad too weak (-0.848 < 0.008)', 'Close below fastEMA (25353.25 < 25357.07)']",2
3803,09:41:30,LONG,BEAR,4.75,-1.886,-2.361,25.7,30.0,0.409,0.000219,"['FastGrad too weak (-1.886 < 0.008)', 'RSI below floor (30.0 < 32.0)', 'Close below fastEMA (25355.00 < 25363.49)']",3
3789,09:34:30,LONG,BEAR,4.75,-0.526,-0.643,15.6,41.1,0.136,0.000053,"['FastGrad too weak (-0.526 < 0.008)', 'Close below fastEMA (25374.75 < 25377.12)']",2
3738,09:09:01,SHORT,BEAR,4.75,-0.006,0.104,29.4,54.5,0.125,0.000046,"['FastGrad too weak (-0.006 > -0.008)', 'AccelMisaligned (fastGrad=-0.006 but accel=0.104)']",2
3880,10:20:00,LONG,BEAR,4.75,-0.269,-0.44,12.0,51.9,0.323,0.000068,"['FastGrad too weak (-0.269 < 0.008)', 'Close below fastEMA (25352.00 < 25353.21)', 'ADX too low (12.0 < 12.0)']",3
3877,10:18:30,SHORT,BULL,4.75,0.691,0.733,13.7,60.6,0.09,0.000102,"['FastGrad too weak (0.691 > -0.008)', 'Close above fastEMA (25356.75 > 25353.64)']",2
3886,10:23:00,SHORT,BULL,4.5,0.131,-0.117,12.5,54.3,0.045,0.000043,"['FastGrad too weak (0.131 > -0.008)', 'Close above fastEMA (25354.50 > 25353.91)']",2
3740,09:10:00,SHORT,BULL,4.5,0.013,0.016,27.6,53.8,0.079,0.000032,"['FastGrad too weak (0.013 > -0.008)', 'Close above fastEMA (25380.50 > 25380.44)']",2
3805,09:42:30,LONG,BEAR,4.5,-0.893,-1.147,27.8,35.8,0.072,0.000203,"['FastGrad too weak (-0.893 < 0.008)', 'Close below fastEMA (25358.25 < 25362.27)']",2
3760,09:20:00,LONG,BEAR,4.5,-0.491,-0.545,16.6,42.7,0.161,0.000036,"['FastGrad too weak (-0.491 < 0.008)', 'Close below fastEMA (25376.00 < 25378.21)']",2
3766,09:23:00,SHORT,BULL,4.5,0.652,0.742,14.7,56.9,0.332,0.000004,"['FastGrad too weak (0.652 > -0.008)', 'Close above fastEMA (25382.25 > 25379.31)']",2
3777,09:28:30,LONG,BULL,4.5,0.077,0.038,11.1,52.5,0.01,0.000019,['ADX too low (11.1 < 12.0)'],1
3793,09:36:32,SHORT,BULL,4.5,0.283,0.623,13.2,51.4,0.192,0.000016,"['FastGrad too weak (0.283 > -0.008)', 'Close above fastEMA (25379.50 > 25378.23)']",2
3871,10:15:31,SHORT,BULL,4.25,1.161,1.696,17.7,62.7,0.361,0.000094,"['FastGrad too weak (1.161 > -0.008)', 'Close above fastEMA (25355.50 > 25350.28)']",2
3881,10:20:30,SHORT,BULL,4.25,0.391,0.367,11.8,57.5,0.007,0.000080,"['FastGrad too weak (0.391 > -0.008)', 'Close above fastEMA (25356.00 > 25354.24)', 'ADX too low (11.8 < 12.0)']",3
3742,09:11:00,LONG,BEAR,4.25,-0.693,-0.902,25.1,46.2,0.371,0.000002,"['FastGrad too weak (-0.693 < 0.008)', 'Close below fastEMA (25376.00 < 25379.12)']",2
3771,09:25:30,LONG,BEAR,4.25,-0.213,-0.483,12.9,47.6,0.091,0.000008,"['FastGrad too weak (-0.213 < 0.008)', 'Close below fastEMA (25377.75 < 25378.71)']",2
3728,09:04:01,SHORT,BULL,4.25,0.331,0.349,32.6,60.2,0.078,0.000094,"['FastGrad too weak (0.331 > -0.008)', 'Close above fastEMA (25381.00 > 25379.51)']",2
3686,08:43:00,SHORT,BULL,4.25,0.305,0.595,23.7,58.0,0.011,0.000064,"['FastGrad too weak (0.305 > -0.008)', 'Close above fastEMA (25357.25 > 25355.88)']",2
3873,10:16:30,SHORT,BULL,4.0,0.791,1.078,16.4,60.5,0.142,0.000103,"['FastGrad too weak (0.791 > -0.008)', 'Close above fastEMA (25355.25 > 25351.69)']",2
3759,09:19:31,LONG,BEAR,4.0,-0.727,-0.833,15.8,41.0,0.293,0.000034,"['FastGrad too weak (-0.727 < 0.008)', 'Close below fastEMA (25375.25 < 25378.52)']",2
3790,09:35:00,LONG,BEAR,4.0,-0.286,-0.572,15.7,43.2,0.007,0.000054,"['FastGrad too weak (-0.286 < 0.008)', 'Close below fastEMA (25375.50 < 25376.79)']",2
3893,10:26:30,LONG,BULL,4.0,0.108,0.188,11.5,54.5,0.072,0.000048,['ADX too low (11.5 < 12.0)'],1
3695,08:47:30,SHORT,BULL,4.0,1.292,1.524,24.2,69.0,0.376,0.000114,"['FastGrad too weak (1.292 > -0.008)', 'Close above fastEMA (25367.00 > 25361.18)']",2
3874,10:17:00,SHORT,BULL,4.0,0.647,0.791,15.9,60.5,0.06,0.000105,"['FastGrad too weak (0.647 > -0.008)', 'Close above fastEMA (25355.25 > 25352.34)']",2
